longitu,latitud,full_id,osm_id,osm_type,addr_postc,amenity,name,website,brand,brand_wiki,brand_wi_1,cuisine,ele,tourism,addr_house,addr_stree,email,phone,is_in,layer,addr_city,internet_a,opening_ho,smoking,outdoor_se,descriptio,contact_ph,contact_we,delivery,descript_1,branch,addr_count,facebook,internet_1,payment_am,payment_ca,payment_ma,payment_vi,payment__1,takeaway,phone_AR,internet_2,architect,wikidata,wikipedia,wheelchair,capacity,food,name_en,name_es,is_in_stat,alt_name,old_name,diet_veget,service_mu,service_tv,ref_vatin,contact_fa,addr_full,bar,brewery,reservatio,indoor,level,room,addr_provi,int_name,microbrewe,addr_hou_1,name_ja,name_ko,name_zh,addr_state,building,payment_cr,payment_de,operator,address,contact_em,opening__1,disused_na,is_in_city,image,phone_mobi,wifi,shop,is_in_coun,is_in_co_1,stars,toilets_ac,entrance,toilets_wh,designatio,cuisine_sp,payment_bi,network,source_pos,style,descript_2,instagram,twitter,diet_vegan,ref,start_date,payment__2,table_serv,name_etymo,access,source_nam,takeover,postal_cod,disused__1,source_add,opening__2,addr_place,was_cuisin,was_stars,drive_in,organic,short_name,payment__3,covered,contact_in,source_dat,noname,drive_thro,fuel,amenity_1,payment__4,todo,diet_glute,addr_neigh,opening_da,addr_flats,self_servi,addr_floor,barrier,highway,building_l,name_fr,natural,email_1,biergarten,diet_raw,name_de,diet_lacto,sport,pho,verify,restaurant,disused,toilets,payment_cl,payment_co,payment_na,fast_food,addr2_stre,craft,name_pt,abandoned_,amenity_19,name_1976,payment_el,payment__5,contact_tw,children,cinema_3D,contact__1,opening__3,addr_unit,rooms,payment_no,name_he,fax,payment_di,changing_t,addr_numbe,name_cy,whatsapp,breakfast,cuisine_de,internet_3,seats,internet_4,diet_meat,air_condit,drink_wine,drink_beer,diet_ovo_v,oven,changing_1,cuisine__1,official_n,contact_mo,door,delivery_p,drink_sake,contact_wh,diet_organ,drink_cock
,,n4692758689,"4692758689",node,,restaurant,Rincón de López,https://bodegaslopez.com.ar/restaurant/,,,,"regional;wine",,,"375",Ozamis,,54 0261 4972406,,,Maipú,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n4692758589,"4692758589",node,,restaurant,,,,,,argentinian,,,,Monte Líbano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clos de Chacras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n6143778186,"6143778186",node,,restaurant,Los Gulinis,,,,,"barbecue;burger;argentinian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n2713952989,"2713952989",node,,restaurant,Cordillera Parrilla,,,,,regional,,,,Belgrano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n4502224894,"4502224894",node,,restaurant,Los Negritos Bodegon de Montaña,,,,,argentinian,,,,Los Olmos,,"0261156663998",,,,wlan,Fr-Su 12:30-16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n5343389421,"5343389421",node,,restaurant,El chalet,,,,,argentinian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n4172137324,"4172137324",node,,restaurant,La Carmenere resto,,,,,regional,,,,,,+54 261 524-6213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n4470345861,"4470345861",node,"5513",restaurant,Zuccardi,,,,,regional,,,"80",Zanichelli,,,,,Mendoza,,,outside,,,,,,,,,,,,,,,,no,,,,,,,"100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n4464796390,"4464796390",node,"5600",restaurant,La Cuchara De Fermín,,,,,argentinian,,,"47",Champagnat,,"2604355684",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La Cuchara De Fermín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n5291588388,"5291588388",node,,restaurant,Rio extremo,,,,,regional,"1200",,"7",ruta 97,info@rioextremo.com.ar,,,,"Campo los Andes, Tunuyán",,11:00-22:00,isolated,yes,,,,no,Rio extremo. bar a orillas de río Tunuyán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n4628808991,"4628808991",node,,restaurant,Gregoria Matorras,,,,,"argentinian;barbecue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gregoria Matorras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n4316521289,"4316521289",node,,restaurant,Nutri Verde,,,,,"argentinian;international;pasta;regional",,,"1657",Avenida Bartolomé Mitre,,,,,,,"Mo-Sa 12:00-16:00; Su closed",,yes,,,,,,,,,,,,,,,yes,,,,,,yes,,,,,,,,only,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n4316321089,"4316321089",node,,restaurant,Don Aldo en la Aristides,,,,,argentinian,,,"236",Arístides Villanueva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n2978356499,"2978356499",node,"5515",restaurant,Concepto Oliva,,,,,regional,,,"1476",Ozamis,,,,,Maipú,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n2578799873,"2578799873",node,,restaurant,La Massa - Pizza y Lomos,,,,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n5395164628,"5395164628",node,,restaurant,Casa de Campo,,,,,argentinian,,,"1516",Urquiza,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n3533983810,"3533983810",node,,restaurant,SMART21,,,,,regional,,,"495",Arístides Villanueva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n2590424743,"2590424743",node,,restaurant,Lomos Papito Barloa,,,,,regional,,,"300",Avenida San Martín,,,,,Las Heras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n3154322545,"3154322545",node,,restaurant,Torito,,,,,regional,,,"234",Juan B. Justo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n2586951120,"2586951120",node,,restaurant,Fundiola Lomos,,,,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n2581978922,"2581978922",node,,restaurant,La Estancia - Parrilla,,,,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n3575221976,"3575221976",node,,restaurant,Piedemonte,,,,,barbecue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n4672385993,"4672385993",node,"5501",restaurant,Caro Pepe,,,,,barbecue,,,"510",Avenida Las Heras,,54 0261 4254482,,,Mendoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n3554430460,"3554430460",node,,restaurant,Chesare's,,,,,regional,,,,,,,,,,,,,,,,,,Parrilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n2519376318,"2519376318",node,,restaurant,La Posada del Jamon,http://www.laposadadeljamon.com.ar,,,,regional,,,KM 13,Ruta Provincial 92,,(02622) 492053 - (02622) 15545314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n2202011161,"2202011161",node,,restaurant,Pueblo del Río,http://www.pueblodelrio.com.ar,,,,regional,"1458",alpine_hut,,,info@pueblodelrio.com.ar,"+54261424674",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n2669361497,"2669361497",node,,restaurant,Pan & Oliva,,,,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n2669361496,"2669361496",node,,restaurant,Casa del Visitante,,,,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n5139920028,"5139920028",node,,restaurant,Comedor Ruca Mahuida,,,,,regional,,,,RN40,,,,,Bardas Blancas,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
